year,lgid,teamid,franchid,divid,rank,g,w,l,divwin,wcwin,lgwin,wswin,r,ra,name,attendance,payroll
1961,AL,LAA,ANA,,8,162,70,91,,,N,N,744,784,Los Angeles Angels,603510,
1962,AL,LAA,ANA,,3,162,86,76,,,N,N,718,706,Los Angeles Angels,1144063,
1963,AL,LAA,ANA,,9,161,70,91,,,N,N,597,660,Los Angeles Angels,821015,
1964,AL,LAA,ANA,,5,162,82,80,,,N,N,544,551,Los Angeles Angels,760439,
1965,AL,CAL,ANA,,7,162,75,87,,,N,N,527,569,California Angels,566727,
1966,AL,CAL,ANA,,6,162,80,82,,,N,N,604,643,California Angels,1400321,
1967,AL,CAL,ANA,,5,161,84,77,,,N,N,567,587,California Angels,1317713,
1968,AL,CAL,ANA,,8,162,67,95,,,N,N,498,615,California Angels,1025956,
1969,AL,CAL,ANA,W,3,163,71,91,N,,N,N,528,652,California Angels,758388,
1970,AL,CAL,ANA,W,3,162,86,76,N,,N,N,631,630,California Angels,1077741,
1971,AL,CAL,ANA,W,4,162,76,86,N,,N,N,511,576,California Angels,926373,
1972,AL,CAL,ANA,W,5,155,75,80,N,,N,N,454,533,California Angels,744190,
1973,AL,CAL,ANA,W,4,162,79,83,N,,N,N,629,657,California Angels,1058206,
1974,AL,CAL,ANA,W,6,163,68,94,N,,N,N,618,657,California Angels,917269,
1975,AL,CAL,ANA,W,6,161,72,89,N,,N,N,628,723,California Angels,1058163,
1976,AL,CAL,ANA,W,4,162,76,86,N,,N,N,550,631,California Angels,1006774,
1977,AL,CAL,ANA,W,5,162,74,88,N,,N,N,675,695,California Angels,1432633,
1978,AL,CAL,ANA,W,2,162,87,75,N,,N,N,691,666,California Angels,1755386,
1979,AL,CAL,ANA,W,1,162,88,74,Y,,N,N,866,768,California Angels,2523575,
1980,AL,CAL,ANA,W,6,160,65,95,N,,N,N,698,797,California Angels,2297327,
1981,AL,CAL,ANA,W,5,110,51,59,N,,N,N,476,453,California Angels,1441545,
1982,AL,CAL,ANA,W,1,162,93,69,Y,,N,N,814,670,California Angels,2807360,
1983,AL,CAL,ANA,W,5,162,70,92,N,,N,N,722,779,California Angels,2555016,
1984,AL,CAL,ANA,W,2,162,81,81,N,,N,N,696,697,California Angels,2402997,
1985,AL,CAL,ANA,W,2,162,90,72,N,,N,N,732,703,California Angels,2567427,14427894
1986,AL,CAL,ANA,W,1,162,92,70,Y,,N,N,786,684,California Angels,2655872,14427258
